,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
138,kaitangata,100,NZ,1663047503,93,-46.2817,169.8464,4.3,7.48
139,waipawa,7,NZ,1663048037,70,-41.4122,175.5153,9.11,7.46
140,ponta do sol,84,PT,1663048037,79,32.6667,-17.1,22.62,5.38
141,mareeba,2,AU,1663047626,57,-17.0,145.4333,28.02,3.75
142,barra patuca,21,HN,1663048038,83,15.8,-84.2833,26.55,2.85
143,kyra,97,RU,1663048039,34,49.5776,111.9753,26.01,1.23
144,tokur,41,RU,1663048040,42,53.1333,132.9,11.94,0.83
145,asau,94,RO,1663047573,71,46.4333,26.4,11.51,1.34
146,harper,100,LR,1663047546,83,4.375,-7.7169,23.91,3.45
147,portland,100,US,1663048042,76,45.5234,-122.6762,19.67,2.06
148,santa cruz,75,BO,1663047561,44,-17.8,-63.1667,24.7,6.17
149,nouadhibou,70,MR,1663047480,88,20.931,-17.0347,21.99,5.14
150,oriximina,55,BR,1663048043,63,-1.7656,-55.8661,25.55,1.01
151,pevek,100,RU,1663047586,84,69.7008,170.3133,2.41,1.12
152,tasiilaq,51,GL,1663047452,87,65.6145,-37.6368,4.09,3.63
153,stepnogorsk,42,KZ,1663048044,49,52.3544,71.8869,12.62,0.58
154,sidney,75,AU,1663048030,57,-33.8679,151.2073,16.93,8.23
155,san vicente,2,AR,1663047567,99,-26.6167,-54.1333,10.11,0.89
156,hami,82,CN,1663047842,21,42.8,93.45,27.78,4.58
157,ucluelet,31,CA,1663047524,88,48.9329,-125.5528,13.94,1.38
158,hamilton,75,US,1663047448,78,39.1834,-84.5333,17.81,3.09
159,termoli,0,IT,1663048045,44,41.9888,14.9895,23.21,2.1
160,khatanga,99,RU,1663047483,55,71.9667,102.5,4.83,5.14
161,takoradi,100,GH,1663047967,89,4.8845,-1.7554,23.26,2.9
162,kyshtovka,98,RU,1663048046,46,56.555,76.6271,11.5,2.16
163,spas-klepiki,92,RU,1663048046,55,55.1347,40.1767,11.22,4.19
164,provideniya,100,RU,1663048046,93,64.3833,-173.3,9.09,4.02
165,jamestown,100,US,1663047896,76,42.097,-79.2353,16.77,2.06
166,saint-philippe,29,RE,1663047985,61,-21.3585,55.7679,23.77,3.35
167,chuy,88,UY,1663047525,93,-33.6971,-53.4616,12.2,3.29
168,fare,96,PF,1663048049,83,-16.7,-151.0167,24.24,9.24
169,bengkulu,100,ID,1663047214,72,-3.8004,102.2655,27.34,2.2
170,narsaq,21,GL,1663048001,78,60.9167,-46.05,5.12,0.36
171,pingliang,35,CN,1663047621,50,35.5392,106.6861,22.47,6.96
172,dongkan,100,CN,1663047832,82,33.9997,119.8308,24.07,6.18
173,longyearbyen,40,SJ,1663047591,69,78.2186,15.6401,1.91,8.23
174,hasaki,74,JP,1663047988,83,35.7333,140.8333,30.16,4.13
175,baguanos,48,CU,1663048022,94,20.7517,-76.0269,24.16,1.64
176,kavaratti,79,IN,1663047943,80,10.5669,72.642,27.13,6.32
177,port elizabeth,40,ZA,1663047284,80,-33.918,25.5701,12.16,4.63
178,xixiang,0,CN,1663047797,34,35.1628,112.865,31.05,3.48
179,ilo,87,PE,1663047774,87,-17.6394,-71.3375,14.35,3.94
180,santa maria,23,BR,1663047600,97,-29.6842,-53.8069,10.99,1.72
181,namatanai,27,PG,1663047545,62,-3.6667,152.4333,29.34,4.54
182,ponta delgada,40,PT,1663048054,83,37.7333,-25.6667,22.5,1.03
183,byron bay,11,AU,1663047802,63,-28.65,153.6167,19.97,5.9
184,saldanha,0,ZA,1663047468,82,-33.0117,17.9442,8.03,5.82
185,touros,9,BR,1663047536,88,-5.1989,-35.4608,22.2,5.15
186,samarai,27,PG,1663048055,75,-10.6167,150.6667,28.19,4.47
187,kieta,13,PG,1663048057,66,-6.2167,155.6333,28.46,2.19
188,cherskiy,100,RU,1663047488,96,68.75,161.3,3.1,3.62
189,avera,82,US,1663047464,86,33.194,-82.5271,22.03,2.69
190,bonavista,100,CA,1663048057,97,48.6499,-53.1147,13.98,11.07
191,atraulia,100,IN,1663047967,76,26.3333,82.95,28.16,7.71
192,petropavlovsk-kamchatskiy,75,RU,1663047768,62,53.0452,158.6483,13.33,2.0
193,margate,100,GB,1663047522,90,51.3813,1.3862,19.94,2.68
194,airai,50,TL,1663047474,34,-8.9266,125.4092,26.22,2.63
195,yerbogachen,100,RU,1663047611,93,61.2767,108.0108,6.03,6.76
196,natal,0,BR,1663048028,94,-5.795,-35.2094,23.12,2.57
197,tutoia,51,BR,1663048059,79,-2.7619,-42.2744,25.72,6.18
198,rio grande,100,BR,1663048060,96,-32.035,-52.0986,12.75,3.49
199,maues,73,BR,1663048061,60,-3.3836,-57.7186,25.27,0.9
200,turukhansk,99,RU,1663048061,77,65.8167,87.9833,5.73,6.9
201,saint george,75,US,1663047463,61,37.1041,-113.5841,25.35,3.13
202,pundaguitan,22,PH,1663048062,69,6.3711,126.1689,29.33,5.99
203,port hedland,1,AU,1663047558,39,-20.3167,118.5667,29.03,9.77
204,escanaba,40,US,1663048062,86,45.7453,-87.0646,16.17,2.06
205,lewisporte,100,CA,1663048063,98,49.2499,-55.0482,12.84,6.99
206,san matias,55,BO,1663048064,52,-16.3667,-58.4,25.94,1.42
207,placido de castro,12,BR,1663048064,57,-10.3353,-67.1856,25.45,0.76
208,chivay,72,PE,1663048065,36,-15.6383,-71.6011,5.1,1.85
209,lavrentiya,100,RU,1663047511,91,65.5833,-171.0,7.92,2.43
210,verkhnyaya inta,100,RU,1663048066,91,65.9811,60.3094,7.29,5.68
211,raga,88,SS,1663048066,90,8.4596,25.678,22.63,1.1
212,boyolangu,47,ID,1663048067,60,-8.1181,111.8935,29.23,6.05
213,mandera,77,KE,1663047820,45,3.9366,41.867,28.39,7.99
214,aksarka,100,RU,1663047572,84,66.5606,67.7975,6.45,2.13
215,sobolevo,100,RU,1663048068,82,54.4299,31.8996,10.16,4.96
216,rio de janeiro,100,BR,1663048069,92,-22.9028,-43.2075,20.53,1.54
217,bonthe,83,SL,1663048070,86,7.5264,-12.505,24.53,2.83
218,vaitape,90,PF,1663048071,82,-16.5167,-151.75,24.7,9.51
219,klaksvik,98,FO,1663047537,86,62.2266,-6.589,10.51,3.51
220,san miguel,100,SV,1663048072,98,13.4833,-88.1833,22.43,1.11
221,bentiu,99,SS,1663048072,93,9.2333,29.8333,23.55,2.06
222,atbasar,11,KZ,1663047968,41,51.8,68.3333,13.26,0.78
223,bindura,4,ZW,1663048072,41,-17.3019,31.3306,20.0,2.94
224,sur,50,OM,1663047608,50,22.5667,59.5289,33.6,2.55
225,rio gallegos,0,AR,1663048074,65,-51.6226,-69.2181,4.03,10.29
226,oranjestad,20,AW,1663048075,70,12.524,-70.027,28.97,6.69
227,ifakara,57,TZ,1663047784,56,-8.1333,36.6833,25.18,2.06
228,alice springs,0,AU,1663047419,19,-23.7,133.8833,30.75,5.66
229,port hardy,100,CA,1663047597,77,50.6996,-127.4199,16.1,2.57
